Amstrad,,,,,,,,,,,,,
HW-ID,CR. No.,CPU,CODE NAME,PCB,Style,Change,Drive Vendor,HDD Size (GB),Quantity,Date of approval,Approval valid for : ,Manufacturer's ECO Ref,
4F3171,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR6,Rev 6,DRX895W,"2TB DRX895W WiFi, 0.5W
Change in manufacturing process.",Seagate  Pipeline,2000,,24/10/2013,Approved for production,,
,,,,,,,,,,,,,
4F3175,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR6,Rev 5,DRX895,"Service centre upgrade of 4F3151,2,3 to use 2TB Seagate HDD. Plastics changed and format set to 2TB box.
",Seagate  Pipeline,2000,,20/01/2014,Approved for service,,
4F3176,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR6,Rev 6,DRX895,"Service centre upgrade of 4F3154,, and other external Ethernet compliant boxes to use 2TB Seagate HDD. Plastics changed and format set to 2TB box.
",Seagate  Pipeline,2000,,20/01/2014,Approved for service,,
4F3177,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR6,Rev 6,DRX895W,"2TB box. As 4F3171 but HDD change, 
New Western Digital 2TB  AF fitted  for test,WD20EURS with revised SoC packaging.","WD 
AV-GP",2000,,20/12/2013,Approved for test & trials. Tests start Q1 2014.,,
4F3178,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR6,Rev 6,DRX895W,"2TB box. As 4F3171 but HDD change, 
New Seagate 2TB  AF Bacall BP2 fitted  for test. HDD is running change to BP1 but includes dynamic balance.","Seagate  Pipeline
BP2",2000,,06/02/2014,Approved for test & trials. Tests start Q1 2014.,,
,,,,,,,,,,,,,
,"4F317D
Last HWID 
DRX895W",Broadcom BCM7335_ BCM7335QKFSBA1G,PVR6,Rev 6,DRX895W,Upper limit for current DRX895W HW ID range. ,,,,19/12/2013,Placeholder,,
,,,,,,,,,,,,,
4F317E,"DRX895W Lite
4F317E to 4F319F",Broadcom BCM7335_ BCM7335QKFSBA1G,PVR6,Rev 6,DRX895WL,"DRX895W Lite
As per 4F3171 but with modem etc removed. See ECR1196.","Seagate  Pipeline
BP1",2000,,19/12/2013,Approved for sample production,,
4F317F,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR6,Rev 6,DRX895WL,"DRX895W Lite
As per 4F3178 but with modem etc removed. See ECR1196.","Seagate  Pipeline
BP2",2000,,17/07/2014,Approved for  production,,
4F3180,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR6,Rev 6,DRX895WL,"DRX895W Lite
As per 4F3177 but with modem etc removed. See ECR1196.","WD 
AV-GP",2000,,17/07/2014,Approved for  production,,
,,,,,,,,,,,,,
,"4F319F
Last HWID
DRX895WL",Broadcom BCM7335_ BCM7335QKFSBA1G,PVR6,Rev 6,DRX895WL,Upper limit for current DRX895WL HW ID range. ,,,,19/12/2013,Placeholder,,
,,,,,,,,,,,,,
4F31A1,DRX890-HWCR001,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 5,DRX890,The same as 4F3101 manufactured by Celestica usng WD Midori drive,WD Midori,500,,,Awaiting approval for production,,
4F31A2,4F31A0 to 4F31CF Celestica,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 5,DRX890,The same as 4F31A1 but built using Seagate Pipeline HDDs,Seagate Pipeline,500,,01/01/2010,Approved for production,,
4F31A3,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 5,DRX890,Hardware ID incremented to demark production quantities tbc,Seagate Pipeline,500,,,Approved for production,,
4F31A4,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 5,DRX890,Darwin introduced as the factory software load. (2/8/10),Seagate Pipeline,500,,02/08/2010,Approved for production,,
4F31A5,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 5,DRX890,Hardware ID incremented to demark production quantity,Seagate Pipeline,500,,13/11/2010,Approved for production,,
4F31A6,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 5,DRX890,Hardware ID incremented to demark production quantity,Seagate Pipeline,500,,18/02/2011,Approved for production,,
4F31A7,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 6 ,DRX890,Compliant for external ethernet cabling,Seagate Pipeline,500,,01/03/2011,Approved for production - Production started 8/6/2011,,
4F31A8,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 6 ,DRX890,The same as 4F31A7. Incremented to demark production qty.,Seagate Pipeline,500,,24/10/2011,Approved for production,,
4F31A9,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 6 ,DRX890,Use of 5 per Alpha & Omega AOZ1073 regulator to replace the 5 per Vishay SIC413 ,Seagate Pipeline,500,,24/10/2011,Approved for production,,
4F31B0,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 6 ,DRX890,Low power version (less than 0.5w) of DRX890,Seagate Pipeline,500,,13/09/2012,Approved for production,,
4F31B5,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 6 ,DRX890W,As per 4F31B0 but including integral WiFi,Seagate Pipeline,500,,14/11/2012,"Approved for production (Placeholder, production not expected at 14/11/12)",,
4F31B6,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 6 ,DRX890W,"As per 4F31B5, 250K production increment",Seagate Pipeline,500,,26/09/2013,Approved for production,,
4F31B7,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 6 ,DRX890W,"DRX890W WiFi, 0.5W
Change in manufacturing process.",Seagate Pipeline,500,,24/10/2013,Approved for production,,
4F31B8,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 6 ,DRX890W,"DRX890W WiFi, 0.5W
500k batch HWID increment",Seagate Pipeline,500,,13/05/2014,Approved for production,,
,,,,,,,,,,,,,
,"4F31BD 
Last HWID 
DRX890W
Celestica",Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 6,DRX890W,Upper limit for current Celestica DRX890W HW ID range. With current software uses existing 245/245GB partitioning.,,,,19/12/2013,Placeholder,,
,,,,,,,,,,,,,
4F31BE,"DRX890W Lite
4F31BE to 4F31CF",Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 6,DRX890WL,"DRX890W Lite
As per 4F31B7 but with modem etc removed. See ECR1196.",Seagate Pipeline,500,,19/12/2013,Approved for production,,
,,,,,,,,,,,,,
,"4F31CF
Last HWID 
DRX890WL
Celestica",Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 6,DRX890WL,Upper limit for current Celestica DRX890WL HW ID range. ,,,,19/12/2013,Placeholder,,
,,,,,,,,,,,,,
4F31D1,4F31D0 to 4F31FF Zinwell ,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 5,DRX890,The same as 4F3101 but manufactured in Zinwell factory.,Seagate Pipeline,500,,13/05/2010,Approved for production,,
4F31D2,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 5,DRX890,Darwin introduced as the factory software load,Seagate Pipeline,500,,02/08/2010,Approved for production,,
4F31D3,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 5,DRX890,Hardware ID incremented to demark production quantity,Seagate Pipeline,500,,12/02/2011,Approved for production,,
4F31D4,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 6,DRX890,Compliant for external ethernet cabling,Seagate Pipeline,500,,01/03/2011,Approved for production,,
4F31D5,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 6,DRX890,"The same as 4F31D4, HW-ID incremented to demark production qty.",Seagate Pipeline,500,,01/09/2011,Approved for production,,
4F31D6,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 6,DRX890,"The same as 4F31D5, HW-ID incremented to demark production qty.",Seagate Pipeline,500,,03/01/2012,Approved for production,,
4F31E0,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 6 ,DRX890W,As per 4F31D6 but including integral WiFi,Seagate Pipeline,500,,26/11/2012,"Approved for production (Placeholder, production not expected at 26/11/12)",,
,,,,,,,,,,,,,
,"4F31E7
Last HWID 
DRX890W
Zinwell",Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 6,DRX890W,Upper limit for current Zinwell DRX890W HW ID range. With current software uses existing 245/245GB partitioning.,,,,19/12/2013,Placeholder,,
,,,,,,,,,,,,,
4F31E8,"DRX890W Lite
4F31E8 to 4F31FF",Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 6,DRX890WL,"DRX890W Lite
As per 4F31E0 but with modem etc removed. See ECR1196.",Seagate Pipeline,500,,19/12/2013,Approved for sample production,,
4F31E9,"DRX890W Lite
4F31E8 to 4F31FF",Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 6,DRX890WL,"DRX890W Lite
As per 4F31E8, but with change to Seagate HDD.See ECR1388.",Seagate Pipeline,500,,22/09/2014,Approved for production,,
,,,,,,,,,,,,,
,"4F31FF
Last HWID 
DRX890W
Zinwell",Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 6,DRX890WL,Upper limit for current Zinwell DRX890WL HW ID range.,,,,19/12/2013,Placeholder,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4F4001,N/A,Conexant Angelina,PVR5,,DRX380,First baseline SD SD dual decode developed by Amstrad,Seagate Nighthawk,,,,"Very few produced, not shipped",,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4F3200,Not Used,TBA,PVR7,TBA,TBA,Reserved for future product,TBA,TBA,,22/03/2013,Software development,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4F3300,Not Used,TBA,PVR7,TBA,TBA,Reserved for future product,TBA,TBA,,22/03/2013,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
